date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1930-07-13,france,mexico,4,1,世界杯1930小组赛 Group 1,1930,Matchday 1,Group 1,"Estadio Pocitos, Montevideo",,
1930-07-13,united_states,belgium,3,0,世界杯1930小组赛 Group 4,1930,Matchday 1,Group 4,"Estadio Parque Central, Montevideo",,
1930-07-14,romania,peru,3,1,世界杯1930小组赛 Group 3,1930,Matchday 2,Group 3,"Estadio Pocitos, Montevideo",,
1930-07-14,yugoslavia,brazil,2,1,世界杯1930小组赛 Group 2,1930,Matchday 2,Group 2,"Estadio Parque Central, Montevideo",,
1930-07-15,argentina,france,1,0,世界杯1930小组赛 Group 1,1930,Matchday 3,Group 1,"Estadio Parque Central, Montevideo",,
1930-07-16,chile,mexico,3,0,世界杯1930小组赛 Group 1,1930,Matchday 4,Group 1,"Estadio Parque Central, Montevideo",,
1930-07-17,united_states,paraguay,3,0,世界杯1930小组赛 Group 4,1930,Matchday 5,Group 4,"Estadio Parque Central, Montevideo",,
1930-07-17,yugoslavia,bolivia,4,0,世界杯1930小组赛 Group 2,1930,Matchday 5,Group 2,"Estadio Parque Central, Montevideo",,
1930-07-18,uruguay,peru,1,0,世界杯1930小组赛 Group 3,1930,Matchday 6,Group 3,"Estadio Centenario, Montevideo",,
1930-07-19,argentina,mexico,6,3,世界杯1930小组赛 Group 1,1930,Matchday 7,Group 1,"Estadio Centenario, Montevideo",,
1930-07-19,chile,france,1,0,世界杯1930小组赛 Group 1,1930,Matchday 7,Group 1,"Estadio Centenario, Montevideo",,
1930-07-20,brazil,bolivia,4,0,世界杯1930小组赛 Group 2,1930,Matchday 8,Group 2,"Estadio Centenario, Montevideo",,
1930-07-20,paraguay,belgium,1,0,世界杯1930小组赛 Group 4,1930,Matchday 8,Group 4,"Estadio Centenario, Montevideo",,
1930-07-21,uruguay,romania,4,0,世界杯1930小组赛 Group 3,1930,Matchday 9,Group 3,"Estadio Centenario, Montevideo",,
1930-07-22,argentina,chile,3,1,世界杯1930小组赛 Group 1,1930,Matchday 10,Group 1,"Estadio Centenario, Montevideo",,
1930-07-26,argentina,united_states,6,1,世界杯1930决赛,1930,Semi-finals,,"Estadio Centenario, Montevideo",,
1930-07-27,uruguay,yugoslavia,6,1,世界杯1930决赛,1930,Semi-finals,,"Estadio Centenario, Montevideo",,
1930-07-30,uruguay,argentina,4,2,世界杯1930决赛,1930,Final,,"Estadio Centenario, Montevideo",,
1934-05-27,austria,france,1,1,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Benito Mussolini, Turin",,
1934-05-27,czechoslovakia,romania,2,1,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Littorio, Trieste",,
1934-05-27,germany,belgium,5,2,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Giovanni Berta, Florence",,
1934-05-27,hungary,egypt,4,2,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Giorgio Ascarelli, Naples",,
1934-05-27,italy,united_states,7,1,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Nazionale PNF, Rome",,
1934-05-27,spain,brazil,3,1,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Luigi Ferraris, Genoa",,
1934-05-27,sweden,argentina,3,2,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio Littoriale, Bologna",,
1934-05-27,switzerland,netherlands,3,2,世界杯1934 Preliminary round,1934,Preliminary round,,"Stadio San Siro, Milan",,
1934-05-31,austria,hungary,2,1,世界杯1934决赛,1934,Quarter-finals,,"Stadio Littoriale, Bologna",,
1934-05-31,czechoslovakia,switzerland,3,2,世界杯1934决赛,1934,Quarter-finals,,"Stadio Benito Mussolini, Turin",,
1934-05-31,germany,sweden,2,1,世界杯1934决赛,1934,Quarter-finals,,"Stadio San Siro, Milan",,
1934-05-31,italy,spain,1,1,世界杯1934决赛,1934,Quarter-finals,,"Stadio Giovanni Berta, Florence",,
1934-06-01,italy,spain,1,0,世界杯1934决赛,1934,"Quarter-finals, Replays",,"Stadio Giovanni Berta, Florence",,
1934-06-03,czechoslovakia,germany,3,1,世界杯1934决赛,1934,Semi-finals,,"Stadio Nazionale PNF, Rome",,
1934-06-03,italy,austria,1,0,世界杯1934决赛,1934,Semi-finals,,"Stadio San Siro, Milan",,
1934-06-07,germany,austria,3,2,世界杯1934 Third-place match,1934,Third-place match,,"Stadio Giorgio Ascarelli, Naples",,
1934-06-10,italy,czechoslovakia,1,1,世界杯1934决赛,1934,Final,,"Stadio Nazionale PNF, Rome",,
1938-06-04,switzerland,germany,1,1,世界杯1938 First round,1938,First round,,"Parc des Princes, Paris",,
1938-06-05,brazil,poland,4,4,世界杯1938 First round,1938,First round,,"Stade de la Meinau, Strasbourg",,
1938-06-05,cuba,romania,2,2,世界杯1938 First round,1938,First round,,"Stade Chapou, Toulouse",,
1938-06-05,czechoslovakia,netherlands,0,0,世界杯1938 First round,1938,First round,,"Stade municipal, Le Havre",,
1938-06-05,france,belgium,3,1,世界杯1938 First round,1938,First round,,"Stade Olympique de Colombes, Paris",,
1938-06-05,hungary,dutch_east_indies,6,0,世界杯1938 First round,1938,First round,,"Vélodrome Municipal, Reims",,
1938-06-05,italy,norway,1,1,世界杯1938 First round,1938,First round,,"Stade Vélodrome, Marseille",,
1938-06-09,cuba,romania,2,1,"世界杯1938 First round, Replays",1938,"First round, Replays",,"Stade Chapou, Toulouse",,
1938-06-09,germany,switzerland,2,4,"世界杯1938 First round, Replays",1938,"First round, Replays",,"Parc des Princes, Paris",,
1938-06-12,brazil,czechoslovakia,1,1,世界杯1938决赛,1938,Quarter-finals,,"Parc Lescure, Bordeaux",,
1938-06-12,france,italy,1,3,世界杯1938决赛,1938,Quarter-finals,,"Stade Olympique de Colombes, Paris",,
1938-06-12,sweden,cuba,8,0,世界杯1938决赛,1938,Quarter-finals,,"Stade du Fort Carré, Antibes",,
1938-06-12,switzerland,hungary,0,2,世界杯1938决赛,1938,Quarter-finals,,"Stade Victor Boucquey, Lille",,
1938-06-14,brazil,czechoslovakia,2,1,世界杯1938决赛,1938,"Quarter-finals, Replays",,"Parc Lescure, Bordeaux",,
1938-06-16,hungary,sweden,5,1,世界杯1938决赛,1938,Semi-finals,,"Parc des Princes, Paris",,
1938-06-16,italy,brazil,2,1,世界杯1938决赛,1938,Semi-finals,,"Stade Vélodrome, Marseille",,
1938-06-19,hungary,italy,2,4,世界杯1938决赛,1938,Final,,"Stade Olympique de Colombes, Paris",,
1938-06-19,sweden,brazil,2,4,世界杯1938季军赛,1938,Match for third place,,"Parc Lescure, Bordeaux",,
1950-06-24,brazil,mexico,4,0,世界杯1950 First round,1950,First round,Group 1,"Estádio do Maracanã, Rio de Janeiro",,
1950-06-25,england,chile,2,0,世界杯1950 First round,1950,First round,Group 2,"Estádio do Maracanã, Rio de Janeiro",,
1950-06-25,spain,united_states,3,1,世界杯1950 First round,1950,First round,Group 2,"Estádio Durival de Britto, Curitiba",,
1950-06-25,sweden,italy,3,2,世界杯1950 First round,1950,First round,Group 3,"Estádio do Pacaembu, São Paulo",,
1950-06-25,yugoslavia,switzerland,3,0,世界杯1950 First round,1950,First round,Group 1,"Estádio Independência, Belo Horizonte",,
1950-06-28,brazil,switzerland,2,2,世界杯1950 First round,1950,First round,Group 1,"Estádio do Pacaembu, São Paulo",,
1950-06-28,yugoslavia,mexico,4,1,世界杯1950 First round,1950,First round,Group 1,"Estádio dos Eucaliptos, Porto Alegre",,
1950-06-29,spain,chile,2,0,世界杯1950 First round,1950,First round,Group 2,"Estádio do Maracanã, Rio de Janeiro",,
1950-06-29,sweden,paraguay,2,2,世界杯1950 First round,1950,First round,Group 3,"Estádio Durival Britto, Curitiba",,
1950-06-29,united_states,england,1,0,世界杯1950 First round,1950,First round,Group 2,"Estádio Independência, Belo Horizonte",,
1950-07-01,brazil,yugoslavia,2,0,世界杯1950 First round,1950,First round,Group 1,"Estádio do Maracanã, Rio de Janeiro",,
1950-07-02,chile,united_states,5,2,世界杯1950 First round,1950,First round,Group 2,"Estádio Ilha do Retiro, Recife",,
1950-07-02,italy,paraguay,2,0,世界杯1950 First round,1950,First round,Group 3,"Estádio do Pacaembu, São Paulo",,
1950-07-02,spain,england,1,0,世界杯1950 First round,1950,First round,Group 2,"Estádio do Maracanã, Rio de Janeiro",,
1950-07-02,switzerland,mexico,2,1,世界杯1950 First round,1950,First round,Group 1,"Estádio dos Eucaliptos, Porto Alegre",,
1950-07-02,uruguay,bolivia,8,0,世界杯1950 First round,1950,First round,Group 4,"Estádio Independência, Belo Horizonte",,
1950-07-09,brazil,sweden,7,1,世界杯1950决赛,1950,Final Round,,"Estádio do Maracanã, Rio de Janeiro",,
1950-07-09,uruguay,spain,2,2,世界杯1950决赛,1950,Final Round,,"Estádio do Pacaembu, São Paulo",,
1950-07-13,brazil,spain,6,1,世界杯1950决赛,1950,Final Round,,"Estádio do Maracanã, Rio de Janeiro",,
1950-07-13,uruguay,sweden,3,2,世界杯1950决赛,1950,Final Round,,"Estádio do Pacaembu, São Paulo",,
1950-07-16,sweden,spain,3,1,世界杯1950决赛,1950,Final Round,,"Estádio do Pacaembu, São Paulo",,
1950-07-16,uruguay,brazil,2,1,世界杯1950决赛,1950,Final Round,,"Estádio do Maracanã, Rio de Janeiro",,
1954-06-16,austria,scotland,1,0,世界杯1954小组赛 Group 3,1954,Matchday 1,Group 3,"Hardturm Stadium, Zürich",,
1954-06-16,brazil,mexico,5,0,世界杯1954小组赛 Group 1,1954,Matchday 1,Group 1,"Charmilles Stadium, Geneva",,
1954-06-16,uruguay,czechoslovakia,2,0,世界杯1954小组赛 Group 3,1954,Matchday 1,Group 3,"Wankdorf Stadium, Bern",,
1954-06-16,yugoslavia,france,1,0,世界杯1954小组赛 Group 1,1954,Matchday 1,Group 1,"Stade Olympique de la Pontaise, Lausanne",,
1954-06-17,england,belgium,3,3,世界杯1954小组赛 Group 4,1954,Matchday 1,Group 4,"St. Jakob Stadium, Basel",,
1954-06-17,hungary,south_korea,9,0,世界杯1954小组赛 Group 2,1954,Matchday 1,Group 2,"Hardturm Stadium, Zürich",,
1954-06-17,switzerland,italy,2,1,世界杯1954小组赛 Group 4,1954,Matchday 1,Group 4,"Stade Olympique de la Pontaise, Lausanne",,
1954-06-17,west_germany,turkey,4,1,世界杯1954小组赛 Group 2,1954,Matchday 1,Group 2,"Wankdorf Stadium, Bern",,
1954-06-19,austria,czechoslovakia,5,0,世界杯1954小组赛 Group 3,1954,Matchday 2,Group 3,"Hardturm Stadium, Zürich",,
1954-06-19,brazil,yugoslavia,1,1,世界杯1954小组赛 Group 1,1954,Matchday 2,Group 1,"Stade Olympique de la Pontaise, Lausanne",,
1954-06-19,france,mexico,3,2,世界杯1954小组赛 Group 1,1954,Matchday 2,Group 1,"Charmilles Stadium, Geneva",,
1954-06-19,uruguay,scotland,7,0,世界杯1954小组赛 Group 3,1954,Matchday 2,Group 3,"St. Jakob Stadium, Basel",,
1954-06-20,england,switzerland,2,0,世界杯1954小组赛 Group 4,1954,Matchday 2,Group 4,"Wankdorf Stadium, Bern",,
1954-06-20,hungary,west_germany,8,3,世界杯1954小组赛 Group 2,1954,Matchday 2,Group 2,"St. Jakob Stadium, Basel",,
1954-06-20,italy,belgium,4,1,世界杯1954小组赛 Group 4,1954,Matchday 2,Group 4,"Cornaredo Stadium, Lugano",,
1954-06-20,turkey,south_korea,7,0,世界杯1954小组赛 Group 2,1954,Matchday 2,Group 2,"Charmilles Stadium, Geneva",,
1954-06-23,switzerland,italy,4,1,世界杯1954小组赛,1954,Group 4 Play-off,,"St. Jakob Stadium, Basel",,
1954-06-23,west_germany,turkey,7,2,世界杯1954小组赛,1954,Group 2 Play-off,,"Hardturm Stadium, Zürich",,
1954-06-26,austria,switzerland,7,5,世界杯1954决赛,1954,Quarter-finals,,"Stade Olympique de la Pontaise, Lausanne",,
1954-06-26,uruguay,england,4,2,世界杯1954决赛,1954,Quarter-finals,,"St. Jakob Stadium, Basel",,
1954-06-27,brazil,hungary,2,4,世界杯1954决赛,1954,Quarter-finals,,"Wankdorf Stadium, Bern",,
1954-06-27,yugoslavia,west_germany,0,2,世界杯1954决赛,1954,Quarter-finals,,"Charmilles Stadium, Geneva",,
1954-06-30,hungary,uruguay,2,2,世界杯1954决赛,1954,Semi-finals,,"Stade Olympique de la Pontaise, Lausanne",,
1954-06-30,west_germany,austria,6,1,世界杯1954决赛,1954,Semi-finals,,"St. Jakob Stadium, Basel",,
1954-07-03,uruguay,austria,1,3,世界杯1954 Third-place match,1954,Third-place match,,"Hardturm Stadium, Zürich",,
1954-07-04,hungary,west_germany,2,3,世界杯1954决赛,1954,Final,,"Wankdorf Stadium, Bern",,
1958-06-08,brazil,austria,3,0,世界杯1958小组赛 Group 4,1958,Matchday 1,Group 4,"Rimnersvallen, Uddevalla",,
1958-06-08,france,paraguay,7,3,世界杯1958小组赛 Group 2,1958,Matchday 1,Group 2,"Idrottsparken, Norrköping",,
1958-06-08,hungary,wales,1,1,世界杯1958小组赛 Group 3,1958,Matchday 1,Group 3,"Jernvallen, Sandviken",,
1958-06-08,northern_ireland,czechoslovakia,1,0,世界杯1958小组赛 Group 1,1958,Matchday 1,Group 1,"Örjans Vall, Halmstad",,
1958-06-08,soviet_union,england,2,2,世界杯1958小组赛 Group 4,1958,Matchday 1,Group 4,"Ullevi, Gothenburg",,
1958-06-08,sweden,mexico,3,0,世界杯1958小组赛 Group 3,1958,Matchday 1,Group 3,"Råsunda Stadium, Solna",,
1958-06-08,west_germany,argentina,3,1,世界杯1958小组赛 Group 1,1958,Matchday 1,Group 1,"Malmö Stadion, Malmö",,
1958-06-08,yugoslavia,scotland,1,1,世界杯1958小组赛 Group 2,1958,Matchday 1,Group 2,"Arosvallen, Västerås",,
1958-06-11,argentina,northern_ireland,3,1,世界杯1958小组赛 Group 1,1958,Matchday 2,Group 1,"Örjans Vall, Halmstad",,
1958-06-11,brazil,england,0,0,世界杯1958小组赛 Group 4,1958,Matchday 2,Group 4,"Ullevi, Gothenburg",,
1958-06-11,mexico,wales,1,1,世界杯1958小组赛 Group 3,1958,Matchday 2,Group 3,"Råsunda Stadium, Solna",,
1958-06-11,paraguay,scotland,3,2,世界杯1958小组赛 Group 2,1958,Matchday 2,Group 2,"Idrottsparken, Norrköping",,
1958-06-11,soviet_union,austria,2,0,世界杯1958小组赛 Group 4,1958,Matchday 2,Group 4,"Ryavallen, Borås",,
1958-06-11,west_germany,czechoslovakia,2,2,世界杯1958小组赛 Group 1,1958,Matchday 2,Group 1,"Olympiastadion, Helsingborg",,
1958-06-11,yugoslavia,france,3,2,世界杯1958小组赛 Group 2,1958,Matchday 2,Group 2,"Arosvallen, Västerås",,
1958-06-12,sweden,hungary,2,1,世界杯1958小组赛 Group 3,1958,Matchday 2,Group 3,"Råsunda Stadium, Solna",,
1958-06-15,brazil,soviet_union,2,0,世界杯1958小组赛 Group 4,1958,Matchday 3,Group 4,"Ullevi, Gothenburg",,
1958-06-15,czechoslovakia,argentina,6,1,世界杯1958小组赛 Group 1,1958,Matchday 3,Group 1,"Olympiastadion, Helsingborg",,
1958-06-15,england,austria,2,2,世界杯1958小组赛 Group 4,1958,Matchday 3,Group 4,"Ryavallen, Borås",,
1958-06-15,france,scotland,2,1,世界杯1958小组赛 Group 2,1958,Matchday 3,Group 2,"Eyravallen, Örebro",,
1958-06-15,hungary,mexico,4,0,世界杯1958小组赛 Group 3,1958,Matchday 3,Group 3,"Jernvallen, Sandviken",,
1958-06-15,paraguay,yugoslavia,3,3,世界杯1958小组赛 Group 2,1958,Matchday 3,Group 2,"Tunavallen, Eskilstuna",,
1958-06-15,sweden,wales,0,0,世界杯1958小组赛 Group 3,1958,Matchday 3,Group 3,"Råsunda Stadium, Solna",,
1958-06-15,west_germany,northern_ireland,2,2,世界杯1958小组赛 Group 1,1958,Matchday 3,Group 1,"Malmö Stadion, Malmö",,
1958-06-17,northern_ireland,czechoslovakia,1,1,世界杯1958小组赛,1958,Group 1 Play-off,,"Malmö Stadion, Malmö",,
1958-06-17,soviet_union,england,1,0,世界杯1958小组赛,1958,Group 4 Play-off,,"Ullevi, Gothenburg",,
1958-06-17,wales,hungary,2,1,世界杯1958小组赛,1958,Group 3 Play-off,,"Råsunda Stadium, Solna",,
1958-06-19,brazil,wales,1,0,世界杯1958决赛,1958,Quarter-finals,,"Ullevi, Gothenburg",,
1958-06-19,france,northern_ireland,4,0,世界杯1958决赛,1958,Quarter-finals,,"Idrottsparken, Norrköping",,
1958-06-19,sweden,soviet_union,2,0,世界杯1958决赛,1958,Quarter-finals,,"Råsunda Stadium, Solna",,
1958-06-19,west_germany,yugoslavia,1,0,世界杯1958决赛,1958,Quarter-finals,,"Malmö Stadion, Malmö",,
1958-06-24,france,brazil,2,5,世界杯1958决赛,1958,Semi-finals,,"Råsunda Stadium, Solna",,
1958-06-24,west_germany,sweden,1,3,世界杯1958决赛,1958,Semi-finals,,"Ullevi, Gothenburg",,
1958-06-28,west_germany,france,3,6,世界杯1958季军赛,1958,Match for third place,,"Ullevi, Gothenburg",,
1958-06-29,sweden,brazil,2,5,世界杯1958决赛,1958,Final,,"Råsunda Stadium, Solna",,
1962-05-30,argentina,bulgaria,1,0,世界杯1962小组赛 Group 4,1962,Matchday 1,Group 4,"Estadio El Teniente, Rancagua",,
1962-05-30,brazil,mexico,2,0,世界杯1962小组赛 Group 3,1962,Matchday 1,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-05-30,chile,switzerland,3,1,世界杯1962小组赛 Group 2,1962,Matchday 1,Group 2,"Estadio Nacional, Santiago",,
1962-05-30,uruguay,colombia,2,1,世界杯1962小组赛 Group 1,1962,Matchday 1,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-05-31,czechoslovakia,spain,1,0,世界杯1962小组赛 Group 3,1962,Matchday 1,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-05-31,hungary,england,2,1,世界杯1962小组赛 Group 4,1962,Matchday 1,Group 4,"Estadio El Teniente, Rancagua",,
1962-05-31,soviet_union,yugoslavia,2,0,世界杯1962小组赛 Group 1,1962,Matchday 1,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-05-31,west_germany,italy,0,0,世界杯1962小组赛 Group 2,1962,Matchday 1,Group 2,"Estadio Nacional, Santiago",,
1962-06-02,brazil,czechoslovakia,0,0,世界杯1962小组赛 Group 3,1962,Matchday 2,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-06-02,chile,italy,2,0,世界杯1962小组赛 Group 2,1962,Matchday 2,Group 2,"Estadio Nacional, Santiago",,
1962-06-02,england,argentina,3,1,世界杯1962小组赛 Group 4,1962,Matchday 2,Group 4,"Estadio El Teniente, Rancagua",,
1962-06-02,yugoslavia,uruguay,3,1,世界杯1962小组赛 Group 1,1962,Matchday 2,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-06-03,hungary,bulgaria,6,1,世界杯1962小组赛 Group 4,1962,Matchday 2,Group 4,"Estadio El Teniente, Rancagua",,
1962-06-03,soviet_union,colombia,4,4,世界杯1962小组赛 Group 1,1962,Matchday 2,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-06-03,spain,mexico,1,0,世界杯1962小组赛 Group 3,1962,Matchday 2,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-06-03,west_germany,switzerland,2,1,世界杯1962小组赛 Group 2,1962,Matchday 2,Group 2,"Estadio Nacional, Santiago",,
1962-06-06,brazil,spain,2,1,世界杯1962小组赛 Group 3,1962,Matchday 3,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-06-06,hungary,argentina,0,0,世界杯1962小组赛 Group 4,1962,Matchday 3,Group 4,"Estadio El Teniente, Rancagua",,
1962-06-06,soviet_union,uruguay,2,1,世界杯1962小组赛 Group 1,1962,Matchday 3,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-06-06,west_germany,chile,2,0,世界杯1962小组赛 Group 2,1962,Matchday 3,Group 2,"Estadio Nacional, Santiago",,
1962-06-07,england,bulgaria,0,0,世界杯1962小组赛 Group 4,1962,Matchday 3,Group 4,"Estadio El Teniente, Rancagua",,
1962-06-07,italy,switzerland,3,0,世界杯1962小组赛 Group 2,1962,Matchday 3,Group 2,"Estadio Nacional, Santiago",,
1962-06-07,mexico,czechoslovakia,3,1,世界杯1962小组赛 Group 3,1962,Matchday 3,Group 3,"Estadio Sausalito, Viña del Mar",,
1962-06-07,yugoslavia,colombia,5,0,世界杯1962小组赛 Group 1,1962,Matchday 3,Group 1,"Estadio Carlos Dittborn, Arica",,
1962-06-10,brazil,england,3,1,世界杯1962决赛,1962,Quarter-finals,,"Estadio Sausalito, Viña del Mar",,
1962-06-10,chile,soviet_union,2,1,世界杯1962决赛,1962,Quarter-finals,,"Estadio Carlos Dittborn, Arica",,
1962-06-10,czechoslovakia,hungary,1,0,世界杯1962决赛,1962,Quarter-finals,,"Estadio El Teniente, Rancagua",,
1962-06-10,yugoslavia,west_germany,1,0,世界杯1962决赛,1962,Quarter-finals,,"Estadio Nacional, Santiago",,
1962-06-13,brazil,chile,4,2,世界杯1962决赛,1962,Semi-finals,,"Estadio Nacional, Santiago",,
1962-06-13,czechoslovakia,yugoslavia,3,1,世界杯1962决赛,1962,Semi-finals,,"Estadio Sausalito, Viña del Mar",,
1962-06-16,chile,yugoslavia,1,0,世界杯1962 Third-place match,1962,Third-place match,,"Estadio Nacional, Santiago",,
1962-06-17,brazil,czechoslovakia,3,1,世界杯1962决赛,1962,Final,,"Estadio Nacional, Santiago",,
1966-07-11,england,uruguay,0,0,世界杯1966小组赛 Group 1,1966,Matchday 1,Group 1,"Wembley Stadium, London",,
