team_id,name_zh,name_en,fifa_rank,coach,style,confederation,fifa_code
algeria,阿尔及利亚,Algeria,,,,CAF,ALG
angola,安哥拉,Angola,,,,,
argentina,阿根廷,Argentina,,,,CONMEBOL,ARG
australia,澳大利亚,Australia,,,,AFC,AUS
austria,奥地利,Austria,,,,UEFA,AUT
belgium,比利时,Belgium,,,,UEFA,BEL
bolivia,玻利维亚,Bolivia,,,,,
bosnia_and_herzegovina,波黑,Bosnia & Herzegovina,,,,UEFA,BIH
bosnia_herzegovina,波黑,Bosnia-Herzegovina,,,,,
brazil,巴西,Brazil,,,,CONMEBOL,BRA
bulgaria,保加利亚,Bulgaria,,,,,
cameroon,喀麦隆,Cameroon,,,,,
canada,加拿大,Canada,,,,CONCACAF,CAN
cape_verde,佛得角,Cape Verde,,,,CAF,CPV
chile,智利,Chile,,,,,
china,中国,China,,,,,
colombia,哥伦比亚,Colombia,,,,CONMEBOL,COL
costa_rica,哥斯达黎加,Costa Rica,,,,,
croatia,克罗地亚,Croatia,,,,UEFA,CRO
cuba,古巴,Cuba,,,,,
cura_ao,库拉索,Curaçao,,,,CONCACAF,CUW
czech_republic,捷克,Czech Republic,,,,UEFA,CZE
czechoslovakia,捷克斯洛伐克,Czechoslovakia,,,,,
c_te_d_ivoire,科特迪瓦,Côte d'Ivoire,,,,,
dr_congo,刚果（金）,DR Congo,,,,CAF,COD
denmark,丹麦,Denmark,,,,,
dutch_east_indies,荷属东印度,Dutch East Indies,,,,,
east_germany,东德,East Germany,,,,,
ecuador,厄瓜多尔,Ecuador,,,,CONMEBOL,ECU
egypt,埃及,Egypt,,,,CAF,EGY
el_salvador,萨尔瓦多,El Salvador,,,,,
england,英格兰,England,,,,UEFA,ENG
france,法国,France,,,,UEFA,FRA
germany,德国,Germany,,,,UEFA,GER
ghana,加纳,Ghana,,,,CAF,GHA
greece,希腊,Greece,,,,,
haiti,海地,Haiti,,,,CONCACAF,HAI
honduras,洪都拉斯,Honduras,,,,,
hungary,匈牙利,Hungary,,,,,
iceland,冰岛,Iceland,,,,,
iran,伊朗,Iran,,,,AFC,IRN
iraq,伊拉克,Iraq,,,,AFC,IRQ
ireland,爱尔兰,Ireland,,,,,
israel,以色列,Israel,,,,,
italy,意大利,Italy,,,,,
ivory_coast,科特迪瓦,Ivory Coast,,,,CAF,CIV
jamaica,牙买加,Jamaica,,,,,
japan,日本,Japan,,,,AFC,JPN
jordan,约旦,Jordan,,,,AFC,JOR
kuwait,科威特,Kuwait,,,,,
l101,,L101,,,,,
l102,,L102,,,,,
mexico,墨西哥,Mexico,,,,CONCACAF,MEX
morocco,摩洛哥,Morocco,,,,CAF,MAR
netherlands,荷兰,Netherlands,,,,UEFA,NED
new_zealand,新西兰,New Zealand,,,,OFC,NZL
nigeria,尼日利亚,Nigeria,,,,,
north_korea,朝鲜,North Korea,,,,,
northern_ireland,北爱尔兰,Northern Ireland,,,,,
norway,挪威,Norway,,,,UEFA,NOR
panama,巴拿马,Panama,,,,CONCACAF,PAN
paraguay,巴拉圭,Paraguay,,,,CONMEBOL,PAR
peru,秘鲁,Peru,,,,,
poland,波兰,Poland,,,,,
portugal,葡萄牙,Portugal,,,,UEFA,POR
qatar,卡塔尔,Qatar,,,,AFC,QAT
romania,罗马尼亚,Romania,,,,,
russia,俄罗斯,Russia,,,,,
saudi_arabia,沙特阿拉伯,Saudi Arabia,,,,AFC,KSA
scotland,苏格兰,Scotland,,,,UEFA,SCO
senegal,塞内加尔,Senegal,,,,CAF,SEN
serbia,塞尔维亚,Serbia,,,,,
serbia_and_montenegro,塞尔维亚和黑山,Serbia and Montenegro,,,,,
slovakia,斯洛伐克,Slovakia,,,,,
slovenia,斯洛文尼亚,Slovenia,,,,,
south_africa,南非,South Africa,,,,CAF,RSA
south_korea,韩国,South Korea,,,,AFC,KOR
soviet_union,苏联,Soviet Union,,,,,
spain,西班牙,Spain,,,,UEFA,ESP
sweden,瑞典,Sweden,,,,UEFA,SWE
switzerland,瑞士,Switzerland,,,,UEFA,SUI
togo,多哥,Togo,,,,,
trinidad_and_tobago,特立尼达和多巴哥,Trinidad and Tobago,,,,,
tunisia,突尼斯,Tunisia,,,,CAF,TUN
turkey,土耳其,Turkey,,,,UEFA,TUR
usa,美国,USA,,,,CONCACAF,USA
ukraine,乌克兰,Ukraine,,,,,
united_arab_emirates,阿联酋,United Arab Emirates,,,,,
united_states,美国,United States,,,,,
uruguay,乌拉圭,Uruguay,,,,CONMEBOL,URU
uzbekistan,乌兹别克斯坦,Uzbekistan,,,,AFC,UZB
w100,,W100,,,,,
w101,,W101,,,,,
w102,,W102,,,,,
w83,,W83,,,,,
w84,,W84,,,,,
w85,,W85,,,,,
w86,,W86,,,,,
w87,,W87,,,,,
w88,,W88,,,,,
w89,,W89,,,,,
w90,,W90,,,,,
w91,,W91,,,,,
w92,,W92,,,,,
w93,,W93,,,,,
w94,,W94,,,,,
w95,,W95,,,,,
w96,,W96,,,,,
w97,,W97,,,,,
w98,,W98,,,,,
w99,,W99,,,,,
wales,威尔士,Wales,,,,,
west_germany,西德,West Germany,,,,,
yugoslavia,南斯拉夫,Yugoslavia,,,,,
zaire,扎伊尔,Zaire,,,,,
